Hyvinkää;94.0;46880;0.7;14.9;61.8;23.3;0.9;4.5;-158;136;12550;23512;46.1;33.5;73.1;31.5;19976;72.0;53.5;12.8;26.1;133.2;19633;0.5;26.7;71.7;94.4;454.4;3298.1;6856.5;1923.2;3811.6
Hämeenkyrö;61.2;10337;-0.1;16.8;58.1;25.1;0.2;1.3;-13;-53;2886;4788;83.8;19.2;72.3;24.0;4151;72.0;43.1;11.3;29.1;149.2;2895;7.8;25.2;64.0;67.6;695.8;4616.0;6354.1;2011.1;3351.2
Hämeenlinna;88.2;67971;0.2;14.2;59.1;26.7;0.4;3.7;-226;285;18046;35342;53.6;33.6;74.8;32.5;27150;70.1;71.8;13.1;29.7;149.9;28520;2.6;20.7;75.3;102.6;488.2;4448.1;7509.5;1718.4;3786.7
Ii;78.1;9912;0.6;21.8;56.5;21.7;0.2;0.5;18;-17;2638;4134;95.4;17.5;72.3;23.2;3570;68.9;45.0;14.7;25.8;175.9;2410;6.3;22.2;69.0;66.5;515.6;4898.8;7036.5;2451.9;3666.7
Iisalmi;75.2;20958;-0.8;14.7;57.3;28.0;0.0;2.2;-168;-118;5722;10891;55.9;33.3;74.1;25.1;7881;66.9;77.9;16.6;32.1;168.0;9154;4.3;26.6;67.8;108.9;646.8;2903.9;5217.3;2005.1;4002.5
Iitti;59.5;6559;-1.0;13.9;53.9;32.2;0.2;1.4;-70;-39;1822;3392;84.3;23.4;68.9;24.2;2450;70.7;51.0;11.8;36.0;170.4;2081;9.9;36.4;50.8;82.1;952.9;1259.0;2637.4;1650.3;3926.9
Ikaalinen;59.2;6877;0.2;13.4;53.5;33.0;0.2;1.8;-49;-41;1882;3492;78.0;23.1;70.7;25.0;2343;65.7;60.4;15.5;36.6;193.0;2219;10.4;17.0;69.9;88.1;859.9;3518.4;6293.2;1586.1;4074.0
Ilmajoki;76.7;12366;0.6;19.4;58.1;22.6;0.2;1.1;-7;-15;3489;5402;93.3;18.2;74.9;26.8;5230;76.6;39.9;8.4;25.7;135.1;3426;11.4;22.9;64.0;64.6;448.1;4532.3;6754.1;2241.8;3469.7
Ilomantsi;53.4;4643;-2.2;8.8;48.6;42.5;0.2;2.1;-98;-19;1299;2588;87.8;21.3;64.7;16.0;1391;59.8;76.2;21.6;48.1;241.4;1424;8.7;14.5;74.8;96.5;863.1;1998.7;4336.9;1837.2;5450.2
Imatra;97.5;25655;-1.6;11.7;56.5;31.8;0.2;4.0;-282;-270;7054;14354;58.4;29.1;70.5;23.6;8779;61.8;70.0;20.6;36.3;197.0;9498;0.8;30.2;67.9;101.4;489.9;3897.3;9461.2;1685.1;4130.5
Inari;66.3;7008;2.1;12.0;61.0;27.0;0.4;3.1;-41;-17;1851;3283;88.9;31.6;73.0;25.1;2777;67.5;87.6;17.5;31.4;147.1;3172;5.6;7.8;84.6;102.1;882.8;1768.6;6662.8;2261.0;4616.4
Inkoo;41.0;5353;0.6;14.8;59.2;26.0;52.0;3.5;-33;-44;1566;2410;88.5;14.6;72.6;35.0;2271;76.2;36.9;9.5;28.5;134.3;1356;8.8;23.5;64.1;56.9;947.8;2499.0;3121.4;2113.7;3402.0
Isojoki;41.5;1891;-1.8;10.8;54.1;35.1;0.8;3.6;-18;-10;516;984;94.5;21.0;61.2;15.8;771;75.3;67.5;6.1;38.3;149.7;693;21.9;24.0;51.7;88.1;931.9;317.9;2203.1;1528.3;5060.3
Isokyrö;72.5;4480;0.2;15.8;55.4;28.8;0.8;0.8;-46;-8;1215;2118;91.9;18.1;71.7;24.9;1721;72.8;44.0;10.7;32.1;159.8;1373;14.1;21.4;61.9;76.4;630.5;894.7;2853.3;1898.2;3951.0
Janakkala;77.1;16340;0.6;16.2;58.8;25.0;0.4;2.4;-80;-114;4538;7860;73.1;21.4;72.2;25.8;6701;73.2;41.4;12.0;28.4;142.3;5015;4.3;31.0;63.0;72.0;617.3;3259.3;4741.1;1884.2;3418.4
Joensuu;89.8;77261;0.4;13.2;63.9;22.9;0.1;3.5;-168;25;19536;41899;50.1;43.1;78.7;32.5;29400;61.7;82.3;17.0;25.9;161.7;34321;1.7;20.1;77.1;113.7;672.3;3100.8;7124.9;1807.2;3428.3
Jokioinen;61.1;5046;-0.3;14.4;57.5;28.1;0.4;2.0;-37;-49;1490;2396;88.5;17.4;70.6;26.1;2115;75.4;39.3;9.5;30.1;139.3;1728;5.7;28.4;64.1;79.6;751.8;2445.8;2979.5;1843.9;3321.9
Jomala;68.4;5512;2.3;21.1;63.4;15.5;88.0;8.6;39;63;1573;2176;87.5;11.9;72.5;31.7;2674;82.2;34.2;7.1;15.9;101.4;2575;3.0;20.7;72.7;93.0;330.7;0.0;363.2;2871.1;1221.9
Joroinen;58.0;4624;-1.4;13.2;54.9;31.9;0.4;2.9;-44;-52;1361;2353;90.1;21.2;71.8;23.4;1791;71.4;48.6;11.4;36.1;161.8;1433;24.4;21.2;51.9;77.9;660.7;4855.8;7288.8;1729.2;4114.1
Joutsa;59.1;4263;-0.8;10.4;49.7;39.9;0.2;2.0;-79;-6;1133;2364;86.2;22.6;64.8;19.6;1432;68.1;68.1;13.8;43.4;200.1;1414;12.5;21.8;63.9;92.0;150.3;3864.1;7281.6;1676.8;5209.9
Juuka;46.9;4444;-1.8;9.6;52.0;38.4;0.1;1.4;-73;-12;1208;2461;90.5;21.0;64.1;17.2;1383;60.3;78.0;20.2;44.3;227.3;1399;10.9;24.7;62.3;100.6;747.3;1214.9;3161.5;1796.3;5478.0
Juupajoki;45.7;1786;-0.8;13.5;54.1;32.4;0.3;1.0;-15;-29;513;871;89.4;18.8;65.7;20.3;682;74.1;49.1;8.0;36.8;163.9;662;10.4;46.4;41.7;94.6;658.9;1776.1;3953.3;1796.1;4126.7
Juva;51.0;5887;-0.8;11.4;51.3;37.3;0.3;1.6;-82;-102;1627;3128;81.0;20.3;67.9;20.2;2132;71.6;65.9;11.1;41.2;178.2;1947;19.5;18.4;59.8;86.1;895.3;3614.6;5859.2;1957.0;4789.6
Jyväskylä;95.2;144473;0.7;14.9;66.2;19.0;0.2;3.5;209;378;36337;76335;36.5;45.0;80.1;37.2;58657;64.1;84.0;15.9;21.8;144.5;64937;0.7;17.2;80.7;106.8;500.6;2669.7;8552.4;1844.1;3159.0
Jämijärvi;35.7;1685;-1.3;14.2;54.7;31.0;0.2;1.4;-20;-10;484;813;96.2;13.3;68.0;18.9;631;72.4;44.7;12.1;35.6;170.5;444;25.7;27.7;43.5;66.7;797.3;2875.8;3639.7;1781.5;3711.8
Jämsä;74.9;19767;-0.6;12.3;54.7;33.0;0.1;1.6;-198;-142;5453;10452;72.3;23.7;71.5;23.4;7161;67.8;79.8;15.3;36.9;177.7;7400;4.2;35.7;58.7;99.9;627.4;2006.9;3060.2;1780.9;4446.3
Järvenpää;99.9;45226;1.7;16.6;64.0;19.4;1.0;4.4;127;539;12059;22045;51.1;34.3;74.9;34.4;20302;74.0;34.8;11.5;21.9;119.0;13699;0.1;21.3;76.7;65.5;504.2;5164.2;9747.3;1975.4;3371.9
Kaarina;95.6;35497;2.4;18.5;60.1;21.3;4.7;2.9;37;630;10084;15643;67.7;18.1;77.2;39.6;15225;76.4;27.4;10.0;23.9;127.7;9973;1.1;30.8;66.1;64.7;523.0;2566.6;3883.6;2019.0;3041.1
